begin	end	'elab.conway.power'	'AMD RAPL PCKG'	'AMD RAPL SINGLE_CORE'	experiment	thread_count	frequency	cstate	
51021863627083400	51027837791657600	327.739	193.774	26.5043	13	124	2200000000	2	
51031829085170200	51037824748880800	230.444	178.637	66.97	3	124	2200000000	2	
51041823313161800	51047822835594200	231.87	187.059	75.5799	9	124	2200000000	2	
51051823576498200	51057825930367800	203.879	139.46	27.3401	11	124	2200000000	2	
51061826888643800	51067825595502200	425.266	338.356	155.885	7	124	2200000000	2	
51071824751465600	51077822831167400	260.249	190.541	78.9541	4	128	2200000000	2	
51081822359098800	51087822258301200	279.361	221.445	110.337	5	128	2200000000	2	
51091823795773400	51097828086527600	343.689	230.901	53.3882	8	128	2200000000	2	
51101837180477400	51107857553199600	329.105	199.323	32.108	14	128	2200000000	2	
51111857400271600	51117832760052400	327.939	193.863	26.5552	13	128	2200000000	2	
51121825248233600	51127823164573400	230.461	178.829	67.1314	3	128	2200000000	2	
51131822582504800	51137822440919200	231.749	187.178	75.674	9	128	2200000000	2	
51141823065259000	51147824704264000	204.089	139.82	27.673	11	128	2200000000	2	
51151826078018200	51157827342935800	428.236	340.018	156.208	7	128	2200000000	2	
51161826733839400	51167822979142600	191.056	121.908	9.68928	4	16	2200000000	2	
51171821835683800	51177821734334200	193.012	125.747	13.7119	5	16	2200000000	2	
51181825373467200	51187835669905800	228.766	150.068	10.2997	8	16	2200000000	2	
51191838542684400	51197835353271600	227.428	142.737	5.34089	14	16	2200000000	2	
51201835715117400	51207838404177600	227.481	141.987	4.66103	13	16	2200000000	2	
51211835915226400	51217825234102600	187.177	120.149	8.23577	3	16	2200000000	2	
51221821962167000	51227822460854000	187.38	121.162	9.33657	9	16	2200000000	2	
51231822795905800	51237823017014200	183.855	115.286	3.41533	11	16	2200000000	2	
51241824873944600	51247829932177400	224.163	149.476	20.1688	7	16	2200000000	2	
51251829699625000	51257823404395000	199.984	131.169	19.4983	4	32	2200000000	2	
51261821395025800	51267821315438200	204.362	138.851	27.3185	5	32	2200000000	2	
51271829900394000	51277854356166000	234.117	152.801	13.1449	8	32	2200000000	2	
51281860081599400	51287849457517600	230.555	144.812	7.84878	14	32	2200000000	2	
51291848256247200	51297851534614800	230.325	143.392	6.44233	13	32	2200000000	2	
51301846707780600	51307828352450400	192.517	128.194	16.5354	3	32	2200000000	2	
51311822217081800	51317821831986200	192.813	130.228	18.6336	9	32	2200000000	2	
51321821863737800	51327822018858200	186.296	118.491	6.75104	11	32	2200000000	2	
51331824839103800	51337832836497200	268.173	189.671	39.8582	7	32	2200000000	2	
51341832708722800	51347823828866200	209.29	141.159	29.6441	4	48	2200000000	2	
51351820974682800	51357820895599200	216.173	152.917	41.5948	5	48	2200000000	2	
51361828738025800	51367851051629200	264.13	176.007	23.9709	8	48	2200000000	2	
51371860299012400	51377863704148600	258.984	160.671	13.3373	14	48	2200000000	2	
51381860287310800	51387844189241200	258.765	158.595	11.3737	13	48	2200000000	2	
51391835682977400	51397824697545600	199.061	136.897	25.3103	3	48	2200000000	2	
51401821199516000	51407821434269000	199.488	140.025	28.5243	9	48	2200000000	2	
51411821395704800	51417820835499200	189.05	122.011	10.277	11	48	2200000000	2	
51421822060023200	51427826000130800	296.532	215.836	60.4232	7	48	2200000000	2	
51431826200581200	51437821871131800	219.111	151.008	39.5868	4	64	2200000000	2	
51441820528916800	51447820401521200	228.235	166.638	55.4649	5	64	2200000000	2	
51451821028939200	51457822713628800	269.91	179.152	26.8877	8	64	2200000000	2	
51461824339703200	51467826187556800	263.024	163.012	15.9299	14	64	2200000000	2	
51471833114975000	51477849283466000	262.418	160.258	13.254	13	64	2200000000	2	
51481848221755200	51487828002331800	204.753	145.204	33.7059	3	64	2200000000	2	
51491821390508800	51497821426823200	205.317	149.561	38.1695	9	64	2200000000	2	
51501821313676800	51507820708273200	191.642	125.474	13.7537	11	64	2200000000	2	
51511822536421600	51517828393290400	322.332	240.896	80.3789	7	64	2200000000	2	
51521828381022200	51527822068098800	229.082	161.106	49.7426	4	80	2200000000	2	
51531820047991800	51537819944764200	241.029	180.454	69.3896	5	80	2200000000	2	
51541822770267000	51547831004763000	299.927	201.769	37.1841	8	80	2200000000	2	
51551839718131800	51557855690272200	291.792	178.549	21.3753	14	80	2200000000	2	
51561860003790000	51567854088390000	291.399	175.063	17.9314	13	80	2200000000	2	
51571845965920400	51577826897201600	210.845	153.568	42.0524	3	80	2200000000	2	
51581820500048800	51587820127109200	211.622	158.991	47.6046	9	80	2200000000	2	
51591820067235800	51597819993492200	194.578	129.008	17.2129	11	80	2200000000	2	
51601822233818600	51607828772281400	350.041	266.869	100.322	7	80	2200000000	2	
51611829078945800	51617821889433200	238.804	170.747	59.3702	4	96	2200000000	2	
51621819608431800	51627819529750200	253.217	194.34	83.3001	5	96	2200000000	2	
51631824106896600	51637837571234400	306.35	204.942	40.1097	8	96	2200000000	2	
51641850078970600	51647872089321400	295.66	181.042	23.9496	14	96	2200000000	2	
51651869679938600	51657837541546400	294.813	176.908	19.8047	13	96	2200000000	2	
51661826404200200	51667822330950800	216.858	162.04	50.518	3	96	2200000000	2	
51671820929371800	51677820418504200	218.073	168.433	57.0564	9	96	2200000000	2	
51681820577722000	51687821329873000	197.771	132.55	20.6882	11	96	2200000000	2	
51691823067639400	51697826510797600	374.983	290.945	119.369	7	96	2200000000	2	
51701826053849200	51707820778565800	249.754	180.354	68.9563	4	112	2200000000	2	
51711819154166800	51717819051293200	266.366	207.843	96.8545	5	112	2200000000	2	
51721824134244800	51727839101133200	336.81	227.575	50.44	8	112	2200000000	2	
51731845753149200	51737848524978800	324.713	196.464	29.2541	14	112	2200000000	2	
51741845738682000	51747831733209000	323.91	191.909	24.6635	13	112	2200000000	2	
51751826240760200	51757820702586800	223.565	170.517	58.9334	3	112	2200000000	2	
51761818972757800	51767818922894200	224.689	177.862	66.452	9	112	2200000000	2	
51771819826104200	51777822315537800	200.734	136.126	24.1496	11	112	2200000000	2	
51781825863485600	51787832639842400	402.385	316.533	138.003	7	112	2200000000	2	
51791831750677600	51797821833816400	259.545	190.162	78.7237	4	128	2200000000	2	
51801818654288800	51807818541557200	278.966	221.267	110.305	5	128	2200000000	2	
51811818708737800	51817818730208200	343.148	230.801	53.4935	8	128	2200000000	2	
51821825346314200	51827842870601800	328.692	199.007	31.9442	14	128	2200000000	2	
51831851709274600	51837856368705400	327.549	193.607	26.4865	13	128	2200000000	2	
51841850181700800	51847826375116200	229.943	178.704	67.0961	3	128	2200000000	2	
51851818783662800	51857819425587200	231.344	187.202	75.7766	9	128	2200000000	2	
51861819463452800	51867818597685200	203.728	139.694	27.6255	11	128	2200000000	2	
51871818756165000	51877819737372000	427.931	339.966	156.2	7	128	2200000000	2	
51881819881713800	51887818480602200	183.026	113.92	1.79322	4	4	1500000000	2	
51891818065769800	51897818029694200	183.169	114.141	2.19085	5	4	1500000000	2	
51901819905906600	51907825429409400	199.14	126.37	2.73298	8	4	1500000000	2	
51911826626053600	51917824443243400	201.224	125.303	1.61931	14	4	1500000000	2	
51921824457933000	51927826267812000	201.232	125.152	1.51657	13	4	1500000000	2	
51931825207177200	51937819814893800	182.369	113.896	2.18447	3	4	1500000000	2	
51941818080801000	51947818161456000	182.173	114.356	2.70485	9	4	1500000000	2	
51951819261520200	51957822291427800	181.189	112.478	0.828729	11	4	1500000000	2	
51961822591511600	51967820348095400	186.739	117.704	5.38122	7	4	1500000000	2	
51971819237320600	51977817948942400	183.792	114.998	3.42177	4	8	1500000000	2	
51981817549000000	51987817504291000	184.462	115.872	4.33111	5	8	1500000000	2	
51991819154629400	51997824022523600	203.615	129.857	4.46495	8	8	1500000000	2	
52001826004312000	52007826616333000	203.152	126.473	2.42903	14	8	1500000000	2	
52011825231574200	52017819790966800	203.176	126.23	2.19588	13	8	1500000000	2	
52021818230815800	52027818374620200	183.65	115.959	4.44477	3	8	1500000000	2	
52031818436257800	52037818365436200	183.527	116.556	5.07643	9	8	1500000000	2	
52041818138901800	52047817425540200	181.752	113.058	1.54799	11	8	1500000000	2	
52051819679996800	52057826998748200	192.263	123.527	10.6466	7	8	1500000000	2	
52061827011234000	52067819519790000	185.262	116.655	5.19451	4	12	1500000000	2	
52071817054940800	52077817014317200	186.126	117.985	6.5697	5	12	1500000000	2	
52081818474235400	52087822755743600	212.683	136.756	7.31238	8	12	1500000000	2	
52091825497944400	52097829006628600	214.31	132.303	4.05998	14	12	1500000000	2	
52101829676874600	52107827446568400	214.346	131.937	3.72474	13	12	1500000000	2	
52111824906365000	52117819039361000	184.737	118.143	6.71104	3	12	1500000000	2	
52121817197206000	52127817359515000	184.89	119.007	7.62287	9	12	1500000000	2	
52131817442162800	52137817359527200	182.109	113.883	2.42391	11	12	1500000000	2	
52141817527621000	52147818013678000	198.446	129.741	16.1668	7	12	1500000000	2	
52151817897553600	52157816862573400	186.439	118.277	6.87286	4	16	1500000000	2	
52161816544303000	52167816485812000	188.124	120.089	8.71934	5	16	1500000000	2	
52171817804098200	52177821695857800	217.887	140.631	9.09035	8	16	1500000000	2	
52181821937243400	52187818331790600	216.463	133.737	4.91	14	16	1500000000	2	
52191818316172400	52197821213750600	216.507	133.331	4.5122	13	16	1500000000	2	
52201821383386400	52207818509225600	186.293	120.386	9.00002	3	16	1500000000	2	
52211817384756800	52217816766441200	186.503	121.596	10.2483	9	16	1500000000	2	
52221817767777400	52227821263111600	182.68	114.572	3.12177	11	16	1500000000	2	
52231825036364800	52237832739320200	204.146	135.716	21.4451	7	16	1500000000	2	
52241831510895400	52247819898415600	188.369	119.889	8.51297	4	20	1500000000	2	
52251816053123800	52257815992478200	190.138	122.374	11.017	5	20	1500000000	2	
52261818773315000	52267827038981000	227.025	147.485	11.8747	8	20	1500000000	2	
52271832951327000	52277841780939000	227.68	139.476	6.41298	14	20	1500000000	2	
52281841411220400	52287830757852600	227.995	138.857	5.82031	13	20	1500000000	2	
52291825059996000	52297818379764000	188.21	122.47	11.0807	3	20	1500000000	2	
52301816229075000	52307816351970000	188.191	124.004	12.6535	9	20	1500000000	2	
52311816380133800	52317816231840200	183.354	115.465	3.997	11	20	1500000000	2	
52321817664776400	52327822001628600	210.48	141.776	26.7213	7	20	1500000000	2	
52331821917990200	52337817113952800	189.965	121.653	10.2459	4	24	1500000000	2	
52341815554680000	52347815513649000	192.185	124.327	12.9426	5	24	1500000000	2	
52351819382582200	52357830860432800	232.112	151.352	13.5741	8	24	1500000000	2	
52361833024147200	52367827347199800	230.522	140.915	7.19499	14	24	1500000000	2	
