# Bench 2500000 1096.42
# Bench 2200000 1243.18
# targetLowbound : 1093 ; targetHighbound : 1100
# targetQ1 : 1100 ; targetQ3 : 1100
# startLowbound : 1242 ; startHighbound : 1244
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
time-long	abs. time	time-short
0	892163906500	0
0	892163906500	0
0	892163906500	0
1157350	892226410225	1154100
0	892226410225	0
0	892226410225	0
1104225	892268921875	1100975
0	892268921875	0
0	892268921875	0
0	892268921875	0
0	892268921875	0
0	892268921875	0
0	892268921875	0
0	892268921875	0
0	892268921875	0
0	892268921875	0
0	892268921875	0
2159700	892418903925	2156450
2674100	892426423350	2670875
940450	892438934525	937250
930150	892443919225	927225
0	892443919225	0
0	892443919225	0
0	892443919225	0
0	892443919225	0
1527300	892526415875	1524025
2030850	892531411900	2027950
0	892531411900	0
3142025	892573940350	3138800
1354100	892583899800	1351150
1756675	892611412325	1753400
0	892611412325	0
2669375	892651407200	2665475
1605325	892673920525	1602050
0	892673920525	0
0	892673920525	0
1392175	892716407100	1388900
0	892716407100	0
2732475	892756419725	2729225
3043275	892781412900	3040025
0	892781412900	0
1018150	892838912375	1014850
0	892838912375	0
0	892838912375	0
0	892838912375	0
0	892838912375	0
0	892838912375	0
0	892838912375	0
0	892838912375	0
0	892838912375	0
0	892838912375	0
0	892838912375	0
1190675	893008911375	1187500
0	893008911375	0
2776900	893043937425	2773750
0	893043937425	0
2405350	893076435675	2402200
0	893076435675	0
0	893076435675	0
0	893076435675	0
0	893076435675	0
2101600	893136411550	2098375
0	893136411550	0
2298825	893176428650	2295625
3195500	893188935175	3192375
0	893188935175	0
2267200	893221436675	2264025
0	893221436675	0
0	893221436675	0
0	893221436675	0
0	893221436675	0
3229850	893291426450	3226700
2298375	893316419800	2295200
0	893316419800	0
0	893316419800	0
1946750	893363913000	1943575
0	893363913000	0
2557600	893408916000	2554400
0	893408916000	0
0	893408916000	0
1377100	893456422775	1373950
0	893456422775	0
0	893456422775	0
0	893456422775	0
0	893456422775	0
0	893456422775	0
0	893456422775	0
0	893456422775	0
0	893456422775	0
2106400	893598933675	2103225
0	893598933675	0
1242100	893631434275	1238825
1164625	893656416550	1161400
1974225	893663931175	1971325
0	893663931175	0
2789700	893698926425	2786525
0	893698926425	0
0	893698926425	0
0	893698926425	0
0	893698926425	0
0	893698926425	0
0	893698926425	0
0	893698926425	0
0	893698926425	0
0	893698926425	0
1050600	893913918575	1047350
0	893913918575	0
2283850	893953961600	2280650
0	893953961600	0
0	893953961600	0
0	893953961600	0
1377200	894033961925	1374025
0	894033961925	0
0	894033961925	0
0	894033961925	0
0	894033961925	0
0	894033961925	0
0	894033961925	0
1092500	894178928875	1088600
0	894178928875	0
0	894178928875	0
2939250	894226425400	2936075
1823550	894241422150	1820375
3300675	894258924100	3297450
0	894258924100	0
1881275	894286429575	1878100
0	894286429575	0
0	894286429575	0
0	894286429575	0
0	894286429575	0
1123925	894363924275	1120725
0	894363924275	0
0	894363924275	0
0	894363924275	0
0	894363924275	0
0	894363924275	0
2324200	894463943925	2321000
2054025	894476428725	2050775
0	894476428725	0
0	894476428725	0
0	894476428725	0
0	894476428725	0
0	894476428725	0
0	894476428725	0
0	894476428725	0
0	894476428725	0
0	894476428725	0
0	894476428725	0
2277350	894661450975	2273575
0	894661450975	0
0	894661450975	0
0	894661450975	0
3284500	894738930150	3281300
0	894738930150	0
0	894738930150	0
1349625	894781430000	1346400
0	894781430000	0
0	894781430000	0
0	894781430000	0
0	894781430000	0
2354250	894886441600	2351025
0	894886441600	0
0	894886441600	0
0	894886441600	0
0	894886441600	0
947925	894973934700	945025
1064675	894978946375	1061725
0	894978946375	0
0	894978946375	0
3383300	895033934750	3378750
2754450	895051435750	2751300
2933850	895068935150	2930650
0	895068935150	0
0	895068935150	0
0	895068935150	0
0	895068935150	0
0	895068935150	0
0	895068935150	0
1949325	895138942625	1946150
0	895138942625	0
2817750	895163935950	2812925
0	895163935950	0
0	895163935950	0
0	895163935950	0
934275	895231449500	931075
0	895231449500	0
0	895231449500	0
0	895231449500	0
2417325	895283932350	2414075
0	895283932350	0
2887925	895321465250	2884700
0	895321465250	0
0	895321465250	0
3298375	895366427875	3287650
0	895366427875	0
2310550	895418937200	2307325
1751100	895446440100	1746250
0	895446440100	0
0	895446440100	0
0	895446440100	0
0	895446440100	0
0	895446440100	0
0	895446440100	0
0	895446440100	0
0	895446440100	0
0	895446440100	0
2048575	895601459175	2045700
0	895601459175	0
1955650	895626436075	1952475
989325	895648964700	985550
1264175	895656442000	1260975
0	895656442000	0
2039100	895698961625	2035900
0	895698961625	0
0	895698961625	0
0	895698961625	0
0	895698961625	0
0	895698961625	0
2374700	895771439300	2371475
0	895771439300	0
0	895771439300	0
0	895771439300	0
0	895771439300	0
1854600	895843966300	1851425
2340325	895861464400	2336550
0	895861464400	0
0	895861464400	0
1913650	895893967575	1910375
2476500	895913960300	2472750
0	895913960300	0
2709725	895941440850	2706225
0	895941440850	0
0	895941440850	0
0	895941440850	0
0	895941440850	0
0	895941440850	0
0	895941440850	0
0	895941440850	0
3428425	896088968675	3425225
3370325	896101438050	3365500
0	896101438050	0
0	896101438050	0
0	896101438050	0
2673375	896181435600	2670125
0	896181435600	0
0	896181435600	0
0	896181435600	0
2890025	896266466725	2886550
1106675	896288948275	1103500
0	896288948275	0
2818200	896326452125	2814975
0	896326452125	0
0	896326452125	0
1029850	896348956100	1026925
0	896348956100	0
0	896348956100	0
0	896348956100	0
0	896348956100	0
2065500	896441443725	2062325
0	896441443725	0
0	896441443725	0
0	896441443725	0
0	896441443725	0
0	896441443725	0
0	896441443725	0
0	896441443725	0
0	896441443725	0
1771875	896593959150	1767950
0	896593959150	0
0	896593959150	0
0	896593959150	0
1983425	896661447800	1979875
3307800	896691454600	3304550
0	896691454600	0
0	896691454600	0
2403600	896741472500	2400400
0	896741472500	0
0	896741472500	0
0	896741472500	0
0	896741472500	0
0	896741472500	0
0	896741472500	0
2646175	896861446900	2643050
3312925	896886446050	3308975
0	896886446050	0
0	896886446050	0
2941575	896926464475	2938325
0	896926464475	0
0	896926464475	0
3295750	896968963325	3292575
0	896968963325	0
0	896968963325	0
0	896968963325	0
2954425	897033961650	2951225
0	897033961650	0
948500	897066458050	945300
2878100	897081452525	2874925
0	897081452525	0
0	897081452525	0
0	897081452525	0
0	897081452525	0
2989000	897176460350	2984650
0	897176460350	0
0	897176460350	0
1957250	897236460825	1953425
0	897236460825	0
0	897236460825	0
1092500	897276478300	1089300
0	897276478300	0
0	897276478300	0
0	897276478300	0
0	897276478300	0
3345725	897351441100	3342525
0	897351441100	0
0	897351441100	0
0	897351441100	0
0	897351441100	0
2212225	897438954575	2209000
0	897438954575	0
0	897438954575	0
0	897438954575	0
0	897438954575	0
0	897438954575	0
0	897438954575	0
0	897438954575	0
0	897438954575	0
0	897438954575	0
0	897438954575	0
2829950	897628981225	2826775
1306800	897643953025	1303500
0	897643953025	0
0	897643953025	0
0	897643953025	0
0	897643953025	0
1689675	897741475300	1686500
0	897741475300	0
0	897741475300	0
0	897741475300	0
1336500	897811464150	1333300
1714350	897836471925	1711150
0	897836471925	0
2812575	897866474950	2809375
0	897866474950	0
3291225	897888958450	3288025
2882975	897906465125	2879750
0	897906465125	0
0	897906465125	0
0	897906465125	0
0	897906465125	0
0	897906465125	0
0	897906465125	0
1788900	898058995125	1785700
0	898058995125	0
2840550	898091461650	2837325
0	898091461650	0
2582325	898108953300	2579150
0	898108953300	0
1587175	898136470425	1584000
0	898136470425	0
0	898136470425	0
0	898136470425	0
2070750	898201476175	2067850
0	898201476175	0
0	898201476175	0
0	898201476175	0
1435400	898286462850	1432200
0	898286462850	0
2306100	898328978325	2302900
0	898328978325	0
1879000	898371453475	1875450
0	898371453475	0
0	898371453475	0
0	898371453475	0
3097150	898431471250	3093950
0	898431471250	0
1880025	898466471350	1876875
0	898466471350	0
1983925	898491460125	1980750
0	898491460125	0
2467275	898508985925	2464350
0	898508985925	0
0	898508985925	0
1812700	898553981050	1808000
0	898553981050	0
4050	898571657275	1475
0	898571657275	0
2200225	898588990900	2197050
2089200	898616474675	2085900
2192475	898633970350	2189275
1865650	898651466000	1862450
0	898651466000	0
0	898651466000	0
0	898651466000	0
0	898651466000	0
0	898651466000	0
2767650	898701485225	2763975
0	898701485225	0
0	898701485225	0
1791500	898783976000	1788200
0	898783976000	0
0	898783976000	0
0	898783976000	0
1795525	898861482075	1791175
0	898861482075	0
0	898861482075	0
0	898861482075	0
1066950	898936495575	1063725
1932075	898956483150	1928875
0	898956483150	0
1012850	898988981225	1009675
1631850	899011477500	1628625
1376150	899033996700	1372900
0	899033996700	0
0	899033996700	0
0	899033996700	0
0	899033996700	0
0	899033996700	0
0	899033996700	0
0	899033996700	0
0	899033996700	0
0	899033996700	0
1078825	899168976125	1070825
2677625	899183972350	2673975
2931775	899203971300	2928575
0	899203971300	0
3046300	899226490725	3043125
1722150	899241491475	1718900
0	899241491475	0
1252750	899286474375	1249450
0	899286474375	0
0	899286474375	0
0	899286474375	0
2511925	899321475825	2508725
0	899321475825	0
0	899321475825	0
1269900	899376483450	1266675
0	899376483450	0
0	899376483450	0
0	899376483450	0
0	899376483450	0
0	899376483450	0
0	899376483450	0
2418175	899443973875	2415275
1734900	899458980425	1731675
1633975	899471494425	1630775
0	899471494425	0
2638475	899503988875	2634850
0	899503988875	0
0	899503988875	0
3259675	899553987150	3256775
0	899553987150	0
0	899553987150	0
2794975	899588977275	2791800
2118325	899608983050	2115100
2648425	899631498000	2645200
1417075	899651486550	1413825
0	899651486550	0
3347800	899698991975	3344600
0	899698991975	0
0	899698991975	0
0	899698991975	0
0	899698991975	0
1242500	899793986075	1238650
0	899793986075	0
0	899793986075	0
0	899793986075	0
0	899793986075	0
1648750	899861494400	1645575
0	899861494400	0
2220550	899883978625	2217300
0	899883978625	0
0	899883978625	0
0	899883978625	0
0	899883978625	0
0	899883978625	0
1434625	899976487175	1431475
3281925	899984004425	3279025
0	899984004425	0
0	899984004425	0
0	899984004425	0
0	899984004425	0
1265325	900073984775	1262125
1219050	900099005875	1215850
2566350	900118995600	2563175
0	900118995600	0
0	900118995600	0
0	900118995600	0
0	900118995600	0
0	900118995600	0
0	900118995600	0
0	900118995600	0
0	900118995600	0
0	900118995600	0
0	900118995600	0
0	900118995600	0
1208350	900308988925	1205000
0	900308988925	0
2059375	900351509725	2056150
0	900351509725	0
0	900351509725	0
0	900351509725	0
0	900351509725	0
0	900351509725	0
0	900351509725	0
0	900351509725	0
0	900351509725	0
0	900351509725	0
0	900351509725	0
0	900351509725	0
0	900351509725	0
0	900351509725	0
0	900351509725	0
0	900351509725	0
0	900351509725	0
0	900351509725	0
0	900351509725	0
0	900351509725	0
0	900351509725	0
1016225	900651492300	1013025
0	900651492300	0
0	900651492300	0
0	900651492300	0
0	900651492300	0
0	900651492300	0
1965350	900766493300	1962100
0	900766493300	0
0	900766493300	0
2460050	900798992800	2456375
0	900798992800	0
0	900798992800	0
0	900798992800	0
0	900798992800	0
0	900798992800	0
2834475	900913989075	2831250
0	900913989075	0
0	900913989075	0
0	900913989075	0
0	900913989075	0
3292550	900981494175	3289375
0	900981494175	0
0	900981494175	0
0	900981494175	0
0	900981494175	0
1185325	901076491475	1182175
0	901076491475	0
0	901076491475	0
0	901076491475	0
3239450	901158992600	3236200
0	901158992600	0
0	901158992600	0
0	901158992600	0
2413600	901201508950	2410725
0	901201508950	0
1958875	901226492125	1955700
1684475	901234017200	1681600
0	901234017200	0
0	901234017200	0
0	901234017200	0
0	901234017200	0
0	901234017200	0
1873750	901356508250	1870525
0	901356508250	0
0	901356508250	0
0	901356508250	0
0	901356508250	0
0	901356508250	0
0	901356508250	0
2145375	901478999175	2142125
0	901478999175	0
0	901478999175	0
0	901478999175	0
0	901478999175	0
0	901478999175	0
0	901478999175	0
974000	901591507150	970800
0	901591507150	0
0	901591507150	0
2184975	901628995425	2181825
0	901628995425	0
0	901628995425	0
0	901628995425	0
0	901628995425	0
0	901628995425	0
3408825	901729008600	3405075
0	901729008600	0
0	901729008600	0
0	901729008600	0
0	901729008600	0
2475650	901823997375	2472450
982475	901844036625	979325
0	901844036625	0
0	901844036625	0
0	901844036625	0
1747675	901919016375	1744425
0	901919016375	0
0	901919016375	0
0	901919016375	0
0	901919016375	0
0	901919016375	0
0	901919016375	0
2358350	902028998950	2355150
0	902028998950	0
0	902028998950	0
0	902028998950	0
2834350	902074007100	2831475
0	902074007100	0
2393325	902116530925	2390075
0	902116530925	0
0	902116530925	0
0	902116530925	0
2394750	902211531700	2389875
3079025	902228996300	3075075
0	902228996300	0
0	902228996300	0
